s,C
Time,"T air 1"
 2.8229551E+000, 2.4476526E+002
 2.8323029E+000, 2.0881188E+002
 2.8416507E+000, 1.8915780E+002
 2.8509986E+000, 1.8518882E+002
 2.8603464E+000, 1.8727722E+002
 2.8696942E+000, 1.9507148E+002
 2.8790421E+000, 2.0765770E+002
 2.8883899E+000, 2.2153084E+002
 2.8977377E+000, 2.3525608E+002
 2.9070856E+000, 2.4770775E+002
 2.9164334E+000, 2.5778912E+002
 2.9257813E+000, 2.6903628E+002
 2.9351291E+000, 2.8146032E+002
 2.9444769E+000, 2.9289440E+002
 2.9538248E+000, 3.0586014E+002
 2.9631726E+000, 3.1886689E+002
 2.9725204E+000, 3.2956981E+002
 2.9818683E+000, 3.3456435E+002
 2.9912161E+000, 3.3261023E+002
 3.0005640E+000, 3.2316914E+002
 3.0099118E+000, 3.1424182E+002
 3.0192596E+000, 3.0854201E+002
 3.0286075E+000, 3.0778282E+002
 3.0379553E+000, 3.0506740E+002
 3.0473031E+000, 3.0255969E+002
 3.0566510E+000, 2.9235599E+002
 3.0659988E+000, 2.8212042E+002
 3.0753466E+000, 2.7808335E+002
 3.0846945E+000, 2.8333839E+002
 3.0940423E+000, 2.9656108E+002
 3.1033902E+000, 3.1591686E+002
 3.1127380E+000, 3.3377800E+002
 3.1220858E+000, 3.4192254E+002
 3.1314337E+000, 3.3224517E+002
 3.1407815E+000, 3.0616051E+002
 3.1501293E+000, 2.8146161E+002
 3.1594772E+000, 2.6563112E+002
 3.1688250E+000, 2.5784571E+002
 3.1781729E+000, 2.5815194E+002
 3.1875207E+000, 2.6737417E+002
 3.1968685E+000, 2.8396169E+002
 3.2062164E+000, 3.1336855E+002
 3.2155642E+000, 3.5075613E+002
 3.2249120E+000, 3.7671766E+002
 3.2342599E+000, 3.7969306E+002
 3.2436077E+000, 3.6520734E+002
 3.2529556E+000, 3.4158076E+002
 3.2611618E+000, 3.1892348E+002
 3.2693680E+000, 2.9638365E+002
 3.2775743E+000, 2.7422447E+002
 3.2857805E+000, 2.6116430E+002
 3.2939868E+000, 2.5770254E+002
 3.3021930E+000, 2.6416279E+002
 3.3103992E+000, 2.7660680E+002
 3.3186055E+000, 2.9253124E+002
 3.3268117E+000, 3.1223941E+002
 3.3350180E+000, 3.3292018E+002
 3.3432242E+000, 3.5238415E+002
 3.3514305E+000, 3.6168382E+002
 3.3596367E+000, 3.6251469E+002
 3.3678429E+000, 3.6006034E+002
 3.3760492E+000, 3.5519127E+002
 3.3842554E+000, 3.4785303E+002
 3.3924617E+000, 3.4201021E+002
 3.4006679E+000, 3.3807252E+002
 3.4088742E+000, 3.3913208E+002
 3.4170804E+000, 3.4393756E+002
 3.4252866E+000, 3.5390192E+002
 3.4334929E+000, 3.6342154E+002
 3.4416991E+000, 3.6742129E+002
 3.4507260E+000, 3.6449993E+002
 3.4597529E+000, 3.5168587E+002
 3.4687797E+000, 3.3425962E+002
 3.4778066E+000, 3.1379257E+002
 3.4868335E+000, 2.8958692E+002
 3.4958603E+000, 2.6442340E+002
 3.5048872E+000, 2.4459707E+002
 3.5139141E+000, 2.2900179E+002
 3.5229409E+000, 2.1680044E+002
 3.5319678E+000, 2.0653999E+002
